shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product_Goodness,cavity
147,2,20.188,799.38428,0.406,28.24629,2022.13782,1650.07849,0.326,22.66533,3.052,199.60001,209.8,219.8,230.0,239.8,43.7,0.668,70.0,70.0,70.0,70.1,1,P2
217,1,20.188,799.19983,1.534,28.24629,2027.38367,1650.27283,0.326,22.66533,3.058,200.10001,210.10001,220.0,230.0,239.8,47.5,0.67,70.0,70.0,70.0,70.1,1,P1
217,2,20.188,799.19983,1.534,28.24629,2027.38367,1650.27283,0.326,22.66533,3.058,200.10001,210.10001,220.0,230.0,239.8,47.5,0.67,70.0,70.0,70.0,70.1,1,P2
145,1,20.188,799.56873,0.4,28.231,2024.37219,1650.17566,0.326,22.68062,3.044,199.8,210.10001,220.0,230.0,239.8,44.5,0.666,70.0,70.0,70.0,70.1,0,P1
145,2,20.188,799.56873,0.4,28.231,2024.37219,1650.17566,0.326,22.68062,3.044,199.8,210.10001,220.0,230.0,239.8,44.5,0.666,70.0,70.0,70.0,70.1,1,P2
289,1,20.188,798.83093,0.354,28.25139,2017.66931,1650.75854,0.326,22.64494,3.06,200.10001,210.0,220.0,230.0,239.8,44.5,0.67,70.0,70.0,70.0,70.1,0,P1
235,1,20.188,799.01538,0.352,28.2361,2016.50354,1656.87854,0.326,22.69081,3.032,199.8,210.0,220.0,230.0,239.8,45.7,0.672,70.0,70.0,70.0,70.1,1,P1
235,2,20.188,799.01538,0.352,28.2361,2016.50354,1656.87854,0.326,22.69081,3.032,199.8,210.0,220.0,230.0,239.8,45.7,0.672,70.0,70.0,70.0,70.1,1,P2
23,1,20.19,800.12207,0.356,28.19532,2021.16638,1645.41565,0.326,22.63984,3.052,200.0,210.0,220.0,230.0,239.8,41.7,0.672,70.0,70.0,70.0,70.0,1,P1
23,2,20.19,800.12207,0.356,28.19532,2021.16638,1645.41565,0.326,22.63984,3.052,200.0,210.0,220.0,230.0,239.8,41.7,0.672,70.0,70.0,70.0,70.0,1,P2
196,1,20.188,799.01538,0.35,28.21571,2025.14929,1649.10706,0.324,22.68062,3.048,200.10001,210.0,220.0,230.0,239.8,46.0,0.668,70.0,70.0,70.0,70.1,0,P1
196,2,20.188,799.01538,0.35,28.21571,2025.14929,1649.10706,0.324,22.68062,3.048,200.10001,210.0,220.0,230.0,239.8,46.0,0.668,70.0,70.0,70.0,70.1,1,P2
160,1,20.188,799.56873,0.354,28.2361,2040.10938,1652.60425,0.326,22.65004,3.056,199.8,209.8,219.8,230.0,240.0,42.7,0.67,70.0,70.0,70.0,70.1,1,P1
160,2,20.188,799.56873,0.354,28.2361,2040.10938,1652.60425,0.326,22.65004,3.056,199.8,209.8,219.8,230.0,240.0,42.7,0.67,70.0,70.0,70.0,70.1,1,P2
162,1,20.188,799.38428,0.354,28.19532,2015.72644,1649.98132,0.326,22.66533,3.058,199.8,210.0,220.0,230.0,240.0,42.9,0.67,70.0,70.0,70.0,70.1,1,P1
162,2,20.188,799.38428,0.354,28.19532,2015.72644,1649.98132,0.326,22.66533,3.058,199.8,210.0,220.0,230.0,240.0,42.9,0.67,70.0,70.0,70.0,70.1,0,P2
27,1,20.188,800.12207,0.358,28.22081,1992.50916,1649.88416,0.326,22.66023,3.052,200.10001,209.8,220.0,230.0,239.8,42.0,0.668,70.0,70.0,70.0,70.0,0,P1
27,2,20.188,800.12207,0.358,28.22081,1992.50916,1649.88416,0.326,22.66023,3.052,200.10001,209.8,220.0,230.0,239.8,42.0,0.668,70.0,70.0,70.0,70.0,1,P2
296,1,20.188,798.83093,0.354,28.22081,2007.37207,1654.15857,0.326,22.67043,3.042,200.10001,210.10001,220.0,230.0,239.8,45.0,0.668,70.0,70.0,70.0,70.1,1,P1
40,1,20.188,800.12207,0.356,28.21571,1984.83484,1648.81567,0.326,22.64494,3.06,200.0,210.10001,220.10001,230.0,239.8,43.5,0.67,70.0,70.0,70.0,70.0,1,P1
40,2,20.188,800.12207,0.356,28.21571,1984.83484,1648.81567,0.326,22.64494,3.06,200.0,210.10001,220.10001,230.0,239.8,43.5,0.67,70.0,70.0,70.0,70.0,0,P2
225,1,20.188,798.83093,0.404,28.25139,2034.4751,1653.96423,0.326,22.69081,3.036,200.0,210.10001,220.10001,230.0,240.0,48.0,0.666,70.0,70.0,70.0,70.1,1,P1
225,2,20.188,798.83093,0.404,28.25139,2034.4751,1653.96423,0.326,22.69081,3.036,200.0,210.10001,220.10001,230.0,240.0,48.0,0.666,70.0,70.0,70.0,70.1,1,P2
194,1,20.188,799.38428,0.354,28.24119,2014.26929,1647.84424,0.324,22.65004,3.048,200.10001,210.10001,220.10001,230.0,239.8,45.7,0.668,70.0,70.0,70.0,70.1,1,P1
194,2,20.188,799.38428,0.354,28.24119,2014.26929,1647.84424,0.324,22.65004,3.048,200.10001,210.10001,220.10001,230.0,239.8,45.7,0.668,70.0,70.0,70.0,70.1,1,P2
15,1,20.188,799.93762,0.356,28.20042,2009.995,1651.34131,0.326,22.63984,3.048,199.60001,209.8,220.0,229.8,240.0,40.5,0.67,70.0,70.0,70.0,70.0,1,P1
15,2,20.188,799.93762,0.356,28.20042,2009.995,1651.34131,0.326,22.63984,3.048,199.60001,209.8,220.0,229.8,240.0,40.5,0.67,70.0,70.0,70.0,70.0,1,P2
255,1,20.188,798.83093,0.35,28.24119,2026.70361,1656.58716,0.326,22.67552,3.052,199.60001,210.0,220.0,230.0,240.0,39.7,0.668,70.0,70.0,70.0,70.1,1,P1
298,1,20.188,799.19983,0.476,28.21571,2020.0979,1655.22705,0.324,22.68572,3.038,200.0,210.10001,220.10001,230.0,239.8,45.0,0.674,70.0,70.0,70.0,70.1,1,P1
197,1,20.188,799.19983,0.356,28.2361,2051.86377,1648.52417,0.326,22.67552,3.044,200.10001,210.10001,220.0,230.0,239.8,46.2,0.668,70.0,70.0,70.0,70.1,1,P1
197,2,20.188,799.19983,0.356,28.2361,2051.86377,1648.52417,0.326,22.67552,3.044,200.10001,210.10001,220.0,230.0,239.8,46.2,0.668,70.0,70.0,70.0,70.1,1,P2
121,1,20.188,799.56873,0.402,28.25139,2016.40637,1651.14709,0.326,22.68572,3.052,200.10001,210.10001,220.10001,229.8,239.8,46.0,0.668,70.0,70.0,70.0,70.1,1,P1
121,2,20.188,799.56873,0.402,28.25139,2016.40637,1651.14709,0.326,22.68572,3.052,200.10001,210.10001,220.10001,229.8,239.8,46.0,0.668,70.0,70.0,70.0,70.1,1,P2
