shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product weight g
28,1,20.18800,800.12207,0.40400,28.22081,2012.03491,1643.37561,0.32400,22.63984,3.06600,200.10001,210.10001,220.10001,230.00000,239.80000,42.20000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3579
29,1,20.18800,800.12207,0.39800,28.24629,1995.61768,1651.34131,0.32600,22.64494,3.06600,200.00000,210.10001,220.10001,230.00000,239.80000,42.20000,0.66400,70.00000,70.00000,70.00000,70.00000,17.3574
30,1,20.18800,800.30652,0.35200,28.24119,2023.98364,1646.38708,0.32400,22.66533,3.06000,200.10001,210.00000,220.10001,230.00000,239.80000,42.50000,0.66800,70.00000,70.00000,70.00000,70.00000,17.3544
31,1,20.18800,800.12207,0.41200,28.23100,2006.98352,1648.23279,0.32600,22.66023,3.05000,200.10001,210.10001,220.10001,230.00000,239.80000,42.50000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3552
32,1,20.18800,800.12207,0.35400,28.24119,2024.46936,1646.28992,0.32400,22.65004,3.05000,200.00000,210.10001,220.10001,230.00000,239.80000,42.70000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3574
33,1,20.18800,800.12207,0.40000,28.22590,2030.58936,1645.60986,0.32600,22.64494,3.05600,200.10001,210.00000,220.10001,230.00000,239.80000,42.90000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3554
34,1,20.19000,799.93762,0.35400,28.20552,2044.18945,1641.43274,0.32600,22.65004,3.05800,200.10001,210.10001,220.10001,230.00000,239.80000,43.00000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3546
35,1,20.19000,800.30652,0.42400,28.20042,2034.37793,1646.67847,0.32800,22.64494,3.04800,200.10001,210.00000,220.10001,230.00000,239.80000,43.00000,0.66800,70.00000,70.00000,70.00000,70.00000,17.3582
36,1,20.18800,800.12207,0.35400,28.23610,2005.33203,1649.98132,0.32600,22.64494,3.05200,200.10001,210.00000,220.10001,230.00000,239.80000,43.20000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3573
37,1,20.18800,800.12207,0.40000,28.22590,2005.52637,1655.61572,0.32400,22.65514,3.04800,200.10001,210.10001,220.10001,229.80000,239.80000,43.20000,0.66800,70.00000,70.00000,70.00000,70.00000,17.3575
38,1,20.18800,800.12207,0.34600,28.23100,2025.82935,1642.50134,0.32400,22.62456,3.06000,200.00000,210.00000,220.00000,230.00000,239.80000,43.20000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3574
39,1,20.19000,800.30652,0.47400,28.20042,2033.60083,1648.03845,0.32800,22.64494,3.06400,200.10001,209.80000,220.00000,230.00000,239.80000,43.50000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3580
40,1,20.18800,800.12207,0.35600,28.21571,1984.83484,1648.81567,0.32600,22.64494,3.06000,200.00000,210.10001,220.10001,230.00000,239.80000,43.50000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3568
41,1,20.18800,800.12207,0.40200,28.25139,1976.57764,1646.96985,0.32800,22.64494,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,43.70000,0.66800,70.00000,70.00000,70.00000,70.00000,17.3590
42,1,20.18800,800.12207,1.53000,28.21571,1982.69763,1652.99280,0.32400,22.62965,3.06800,200.10001,209.80000,220.00000,230.00000,239.80000,43.90000,0.67000,70.00000,70.00000,70.00000,70.00000,17.3576
