shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,tempSetValue,tempActualValue,tempMainLine,tempReturnLine,Product weight g
301,2,20.16800,800.12207,0.34600,28.25139,1898.37708,1688.35303,0.32400,22.61436,22.65839,201.30000,210.60001,219.60001,229.80000,240.10001,45.00000,0.66800,70.00000,69.90000,69.90000,67.10000,17.9005
302,2,20.18800,799.93762,0.41600,28.24119,2003.19495,1723.22754,0.32600,22.56849,3.19000,200.50000,210.60001,220.10001,230.00000,240.10001,45.00000,0.67200,70.00000,69.90000,69.90000,67.20000,17.8595
303,2,20.18800,799.56873,0.47400,28.21061,2074.49829,1680.87292,0.32600,22.62456,3.04800,199.50000,210.60001,220.60001,230.10001,240.10001,45.20000,0.67000,70.00000,70.00000,70.00000,67.50000,17.8454
304,2,20.18800,799.38428,0.41800,28.21571,2020.48645,1671.25574,0.32400,22.66023,2.99800,198.80000,210.60001,220.80000,230.30000,240.10001,45.20000,0.67200,70.00000,70.10000,70.10000,67.90000,17.8414
305,2,20.18800,799.56873,0.40000,28.23610,2006.88635,1680.67871,0.32600,22.68572,3.00800,198.30000,210.30000,220.80000,230.30000,240.10001,45.00000,0.67200,70.00000,70.30000,70.30000,68.20000,17.8346
306,2,20.19000,799.56873,0.40400,28.22590,2004.36060,1669.70142,0.32400,22.68062,3.01400,198.30000,210.30000,221.00000,230.30000,240.10001,45.40000,0.66400,70.00000,70.40000,70.40000,68.50000,17.8336
307,2,20.18800,799.56873,0.35400,28.23100,2016.30933,1664.74719,0.32400,22.67043,3.03200,198.10001,210.30000,221.00000,230.30000,240.10001,45.40000,0.66800,70.00000,70.40000,70.40000,68.70000,17.8323
308,2,20.18800,799.56873,0.40800,28.23610,1986.19482,1665.52429,0.32400,22.66533,3.04000,198.30000,210.10001,221.00000,230.10001,240.00000,45.40000,0.66800,70.00000,70.30000,70.30000,68.90000,17.8315
309,2,20.18800,799.56873,0.41000,28.22590,2026.80078,1656.58716,0.32400,22.65004,3.05000,198.30000,210.10001,221.10001,230.10001,239.80000,45.50000,0.67200,70.00000,70.20000,70.20000,69.00000,17.8286
310,2,20.18800,799.56873,0.40800,28.24629,2000.08630,1662.31860,0.32400,22.66533,3.06600,198.30000,210.10001,221.00000,230.10001,239.80000,45.70000,0.66800,70.00000,70.20000,70.20000,69.10000,17.829
311,2,20.18800,799.56873,0.41000,28.23100,1996.78345,1656.58716,0.32400,22.66023,3.07400,198.50000,210.00000,220.80000,230.10001,239.80000,45.70000,0.67000,70.00000,70.10000,70.10000,69.20000,17.8291
312,2,20.18800,799.56873,0.41000,28.20552,1976.38330,1651.53564,0.32400,22.68572,3.06200,198.80000,210.00000,220.80000,230.10001,239.80000,45.70000,0.66800,70.00000,70.10000,70.10000,69.20000,17.828
313,2,20.18800,799.75317,0.41200,28.22081,1973.76050,1654.35278,0.32400,22.66533,3.07000,198.60001,210.10001,220.80000,230.10001,239.80000,45.90000,0.67000,70.00000,70.10000,70.10000,69.30000,17.8296
314,2,20.18800,799.75317,0.41800,28.20042,1941.80029,1659.11279,0.32400,22.66533,3.06000,198.80000,210.00000,220.80000,230.10001,239.80000,45.90000,0.67200,70.00000,70.10000,70.10000,69.30000,17.8295
315,2,20.18800,799.93762,0.40800,28.21571,1976.67480,1650.07849,0.32400,22.65514,3.06000,199.10001,209.80000,220.60001,230.10001,239.80000,46.00000,0.66600,70.00000,70.10000,70.10000,69.30000,17.8337
316,2,20.18800,799.93762,0.40200,28.25139,2016.79504,1648.81567,0.32600,22.65004,3.07400,199.10001,210.00000,220.80000,230.10001,239.80000,46.00000,0.66800,70.00000,70.10000,70.10000,69.40000,17.8283
317,2,20.18800,799.75317,0.41400,28.21571,1971.52612,1654.35278,0.32800,22.65514,3.07800,199.00000,210.00000,220.60001,230.10001,239.80000,46.00000,0.67000,70.00000,70.10000,70.10000,69.40000,17.8325
318,2,20.18800,799.75317,0.35000,28.24629,1991.34338,1653.38135,0.32400,22.66023,3.07000,199.10001,209.80000,220.60001,230.10001,239.80000,46.00000,0.66600,70.00000,70.00000,70.00000,69.40000,17.8289
319,2,20.18800,800.12207,0.47800,28.22590,1998.24060,1646.67847,0.32400,22.65514,3.07800,199.30000,209.80000,220.60001,230.10001,239.80000,46.20000,0.66600,70.00000,70.00000,70.00000,69.40000,17.828
320,2,20.18800,799.93762,0.35400,28.20042,2001.54346,1655.42139,0.32600,22.63984,3.06000,199.30000,210.00000,220.60001,230.10001,239.80000,46.20000,0.66800,70.00000,70.00000,70.00000,69.40000,17.8301
321,2,20.18800,799.93762,0.42200,28.23100,2010.86926,1649.98132,0.32800,22.67552,3.08200,199.30000,209.80000,220.50000,230.10001,239.80000,46.00000,0.66800,70.00000,70.00000,70.00000,69.40000,17.8317
322,2,20.18800,799.93762,0.35200,28.24629,2003.68066,1648.62134,0.32400,22.67043,3.07000,199.30000,209.60001,220.50000,230.10001,239.80000,46.20000,0.67000,70.00000,70.00000,70.00000,69.50000,17.8301
323,2,20.19000,800.12207,0.41600,28.25139,2019.80640,1645.90137,0.32800,22.67043,3.05400,199.30000,209.80000,220.50000,230.00000,239.80000,46.20000,0.67200,70.00000,70.00000,70.00000,69.50000,17.8327
324,2,20.19000,800.12207,0.47400,28.24119,1997.17200,1646.19275,0.32400,22.67043,3.07400,199.30000,209.80000,220.30000,230.00000,239.80000,46.00000,0.66600,70.00000,70.00000,70.00000,69.50000,17.8291
325,2,20.18800,800.12207,0.40000,28.25139,1980.56042,1649.88416,0.32400,22.65004,3.07400,199.50000,209.60001,220.30000,230.00000,239.80000,46.00000,0.66800,70.00000,70.00000,70.00000,69.50000,17.829
326,2,20.18800,799.93762,0.34600,28.23100,2009.12061,1649.10706,0.32600,22.65514,3.06400,199.60001,209.80000,220.30000,230.00000,239.80000,45.70000,0.67200,70.00000,70.00000,70.00000,69.50000,17.8267
327,2,20.18800,800.12207,0.42200,28.22590,1978.90906,1650.56421,0.32800,22.64494,3.05400,199.50000,209.80000,220.30000,230.00000,239.80000,45.70000,0.66600,70.00000,70.00000,70.00000,69.50000,17.8316
328,2,20.19000,799.93762,0.35400,28.23100,1990.56628,1647.35852,0.32600,22.65514,3.06000,199.60001,209.60001,220.10001,230.00000,239.80000,45.50000,0.66600,70.00000,70.00000,70.00000,69.50000,17.8279
329,2,20.18800,799.93762,0.35000,28.23610,1994.84058,1650.95276,0.32400,22.68572,3.06800,199.60001,209.80000,220.30000,230.00000,239.80000,45.40000,0.66800,70.00000,70.00000,70.00000,69.50000,17.8271
330,2,20.18800,800.12207,0.41600,28.22590,2001.83484,1648.42700,0.32400,22.65514,3.06000,199.60001,210.00000,220.10001,230.00000,239.80000,45.20000,0.66600,70.00000,70.00000,70.00000,69.50000,17.8278
331,2,20.18800,800.12207,0.35400,28.24119,1997.85205,1652.31274,0.32800,22.66023,3.06400,199.60001,209.80000,220.10001,230.00000,239.80000,45.20000,0.67000,70.00000,70.00000,70.00000,69.50000,17.8347
332,2,20.19000,800.12207,0.35400,28.22590,1989.40051,1651.53564,0.32600,22.68062,3.05800,199.60001,210.00000,220.10001,230.00000,239.80000,45.00000,0.66600,70.00000,70.00000,70.00000,69.60000,17.8305
333,2,20.19000,799.93762,0.35000,28.20552,1981.62903,1651.72998,0.32400,22.65514,3.05800,199.60001,210.00000,220.10001,230.00000,239.80000,44.90000,0.67000,70.00000,70.00000,70.00000,69.60000,17.8304
334,2,20.18800,800.12207,0.40400,28.19532,1977.74329,1659.79285,0.32400,22.65004,3.06000,199.60001,209.80000,220.10001,230.00000,240.00000,44.90000,0.67000,70.00000,70.00000,70.00000,69.60000,17.8318
335,2,20.18800,800.12207,0.40400,28.22081,1995.22913,1647.84424,0.32400,22.65514,3.06000,199.60001,210.00000,220.10001,230.00000,240.00000,44.70000,0.66400,70.00000,70.00000,70.00000,69.60000,17.8359
336,2,20.18800,800.30652,0.35400,28.23610,1990.27478,1657.26709,0.32400,22.67043,3.05000,199.60001,210.00000,220.10001,230.00000,239.80000,44.50000,0.67000,70.00000,70.00000,70.00000,69.60000,17.8319
337,2,20.18800,800.12207,0.34800,28.20552,1974.53760,1654.93567,0.32600,22.65514,3.05600,199.60001,209.80000,220.10001,230.00000,239.80000,44.70000,0.66800,70.00000,70.00000,70.00000,69.60000,17.839
338,2,20.19000,800.30652,0.42200,28.21571,1990.66345,1656.29565,0.32600,22.66533,3.06600,199.60001,210.00000,220.10001,230.00000,239.80000,44.50000,0.67000,70.00000,70.00000,70.00000,69.60000,17.8304
339,2,20.18800,800.12207,0.34600,28.20552,1981.72620,1654.74133,0.32400,22.66023,3.06200,199.60001,210.00000,220.10001,230.00000,239.80000,44.50000,0.66800,70.00000,70.00000,70.00000,69.60000,17.836
340,2,20.18800,800.12207,0.40200,28.19532,1978.61768,1652.21570,0.32400,22.67552,3.06400,199.60001,209.80000,220.00000,230.00000,239.80000,44.40000,0.66800,70.00000,70.00000,70.00000,69.60000,17.8326
341,2,20.18800,799.93762,0.40400,28.19532,2000.66919,1651.53564,0.32400,22.65514,3.06800,199.80000,209.80000,220.00000,230.00000,239.80000,44.40000,0.66400,70.00000,70.00000,70.00000,69.60000,17.8365
342,2,20.18800,800.12207,0.35600,28.20042,2006.40063,1653.08997,0.32800,22.67043,3.07600,199.60001,210.10001,220.10001,229.80000,239.80000,44.20000,0.66600,70.00000,70.00000,70.00000,69.60000,17.8272
343,2,20.18800,799.75317,0.35400,28.22081,1977.54907,1652.31274,0.32400,22.63984,3.07600,199.60001,210.00000,220.00000,229.80000,240.00000,44.20000,0.67000,70.00000,70.00000,70.00000,69.60000,17.8374
344,2,20.18800,800.12207,0.35200,28.23610,1989.69202,1646.38708,0.32600,22.63475,3.06200,199.60001,209.80000,220.00000,229.80000,239.80000,44.20000,0.67000,70.00000,70.00000,70.00000,69.70000,17.83
345,2,20.18800,800.30652,0.35400,28.23610,1988.62341,1656.58716,0.32400,22.66533,3.06400,199.80000,210.10001,220.10001,229.80000,239.80000,44.00000,0.66800,70.00000,70.00000,70.00000,69.70000,17.8306
346,2,20.18800,800.49097,0.41800,28.21061,1983.28052,1654.44995,0.32600,22.66533,3.07400,199.80000,210.00000,220.00000,229.80000,239.80000,44.00000,0.66400,70.00000,70.00000,70.00000,69.70000,17.8286
347,2,20.18800,800.12207,0.40000,28.22081,1967.34900,1658.91858,0.32600,22.66023,3.06800,199.80000,209.80000,219.80000,229.80000,239.80000,43.90000,0.67000,70.00000,70.00000,70.00000,69.70000,17.8315
