shot,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product weight g
157,799.19983,0.75400,28.24119,673.68976,673.68976,0.36000,20.05578,1.97800,189.60001,194.80000,199.80000,205.00000,209.80000,45.50000,0.66400,14.2348
158,799.56873,0.89400,28.24119,672.32977,672.32977,0.36000,20.07617,1.98600,189.80000,194.50000,199.80000,205.00000,209.80000,45.50000,0.66800,14.2324
159,799.75317,1.07600,28.24119,667.76404,667.76404,0.36000,20.10675,1.98000,189.80000,194.80000,200.00000,205.00000,209.80000,45.50000,0.66200,14.2373
160,799.75317,0.92600,28.24119,678.54694,678.54694,0.36000,20.09656,1.98200,190.00000,194.80000,200.00000,205.00000,209.80000,45.50000,0.66200,14.2384
161,799.75317,0.97000,28.24119,676.40979,676.40979,0.36000,20.05578,1.99000,190.00000,195.00000,199.80000,205.00000,209.80000,45.50000,0.66400,14.2354
162,799.56873,1.10800,28.24119,690.30127,690.10699,0.36000,20.11695,1.98800,190.00000,195.10001,200.00000,204.80000,209.80000,45.20000,0.66200,14.2383
163,799.38428,0.79600,28.24119,687.48413,686.99841,0.36000,20.08127,2.00600,190.00000,195.00000,199.80000,204.80000,209.80000,45.50000,0.66400,14.2399
164,799.19983,0.83000,28.24119,683.30695,683.30695,0.36000,20.09656,1.97800,190.00000,194.80000,199.60001,205.00000,209.80000,45.20000,0.66200,14.2318
165,799.19983,0.83200,28.24119,690.20416,690.20416,0.36000,20.08127,1.99600,190.00000,195.00000,199.80000,205.00000,209.80000,45.20000,0.66400,14.2338
166,799.38428,1.16600,28.24119,688.16412,688.16412,0.36000,20.06088,2.00200,190.00000,195.10001,200.00000,205.00000,209.80000,45.20000,0.66800,14.2388
167,799.56873,0.77000,28.24119,683.88983,683.88983,0.36000,20.09656,1.99200,189.80000,195.30000,199.80000,205.00000,209.80000,45.00000,0.66800,14.231
168,799.56873,1.05000,28.24119,679.71265,679.71265,0.36000,20.12714,1.98800,189.80000,195.30000,200.10001,205.00000,209.80000,45.00000,0.66000,14.2363
169,799.75317,0.92000,28.24119,676.70123,676.60406,0.36000,20.07107,1.97200,189.80000,195.60001,200.10001,205.00000,209.80000,44.90000,0.66400,14.2338
170,799.75317,1.13000,28.24119,688.35840,688.35840,0.36000,20.11185,1.97600,189.60001,195.60001,200.10001,205.00000,209.80000,44.50000,0.66200,14.2367
171,799.56873,0.97600,28.24119,681.94696,681.84979,0.36000,20.08636,1.95600,189.60001,195.50000,200.10001,205.00000,209.80000,44.20000,0.66000,14.2408
172,799.56873,1.13200,28.24119,689.23273,689.03845,0.36000,20.04049,1.98200,189.60001,195.30000,200.10001,205.00000,210.00000,44.00000,0.66800,14.2417
173,799.56873,0.85800,28.24119,678.06122,678.06122,0.36000,20.09146,1.99400,189.60001,195.10001,200.00000,205.00000,210.00000,43.90000,0.66600,14.2388
174,799.56873,1.02600,28.24119,668.92975,668.92975,0.36000,20.10165,1.97000,189.80000,195.10001,199.80000,205.00000,210.00000,43.50000,0.66400,14.2364
175,799.56873,1.17200,28.24119,678.64410,678.64410,0.36000,20.07617,1.97800,189.80000,195.00000,199.80000,205.00000,210.00000,43.20000,0.66800,14.2387
176,799.38428,0.85200,28.24119,681.94696,681.94696,0.36000,20.11695,1.97200,189.80000,194.80000,199.80000,205.00000,209.80000,43.00000,0.66600,14.2381
177,799.75317,1.02800,28.24119,676.21552,676.21552,0.36000,20.08636,1.96800,189.60001,194.60001,199.80000,204.80000,209.80000,42.50000,0.66200,14.2364
178,799.19983,0.89000,28.24119,676.79834,676.79834,0.36000,20.06088,1.97800,189.60001,194.60001,199.80000,204.80000,209.80000,42.20000,0.66400,14.2362
179,799.38428,1.22200,28.24119,677.38123,677.38123,0.36000,20.02520,1.98000,189.80000,194.60001,199.80000,204.80000,209.80000,42.00000,0.66400,14.2361
180,799.38428,0.77800,28.24119,676.89551,676.89551,0.36000,20.07107,1.98800,189.60001,194.60001,199.80000,204.80000,209.80000,41.70000,0.66200,14.2319
181,799.56873,0.70200,28.24119,667.95831,667.95831,0.36000,20.10675,1.98200,189.60001,194.60001,199.80000,204.80000,209.80000,41.40000,0.66400,14.2297
182,799.38428,0.86800,28.24119,677.08978,677.08978,0.36000,20.08127,1.98000,189.60001,194.80000,199.80000,204.80000,209.80000,41.00000,0.66600,14.2316
183,799.19983,0.87400,28.24119,676.79834,676.79834,0.36000,20.11695,1.96800,189.60001,195.00000,200.00000,204.80000,209.80000,40.90000,0.66600,14.2292
184,799.56873,1.81200,28.24119,685.05554,685.05554,0.36000,20.07617,1.97400,189.60001,195.00000,200.00000,204.80000,209.80000,40.50000,0.66200,14.2356
